Time (Sec);S100;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S41;S5;S6;S7;S8;S9;
0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
60.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
120.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
180.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
240.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
300.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
360.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
420.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
480.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
540.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
600.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
660.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
720.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
780.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
840.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
900.0;100.0;99.9999;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9999;100.0;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;
900.0266666666666;100.0;99.9998;99.9998;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9998;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9998;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9998;100.0;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;
900.0266666666666;100.0;99.98322399999999;99.9998;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
900.0266666666666;100.0;99.98322399999999;99.98275039999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
900.0581266666667;100.0;99.98322399999999;99.98275039999999;99.991992;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;99.991992;99.991992;99.991992;99.991992;99.991992;99.991992;99.991992;99.991992;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
900.0581266666667;100.0;99.98322399999999;99.98275039999999;99.97494239999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
900.059216;100.0;99.98322399999999;99.98275039999999;99.97494239999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;99.9917632;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
900.059216;100.0;99.98322399999999;99.98275039999999;99.97494239999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.98322399999999;99.97471359999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.97494239999999;99.98322399999999;100.0;100.0;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;99.98322399999999;
